topic_name,topic_description
Closed-form expression,mathematical formula built with arithmetic operations and other previously defined functions
Potential gradient,The field of study related to Potential gradient.
Poppy,common name for various plant species of the family Papaveraceae
Explosive strength,parameter describing explosive materials
Downgrade,reverting software/hardware back to an older version: opposite of upgrade
CAPTCHA,computer test to discriminate human users from spambots
Gastrointestinal disorder,disease involving the gastrointestinal tract
Unified Model,global numerical weather prediction model
Harmonic mean,inverse of the average of the inverses of a set of numbers
Sweep frequency response analysis,The field of study related to Sweep frequency response analysis.
Regulatory affairs,The field of study related to Regulatory affairs.
Supplemental oxygen,use of high concentrations of oxygen as medical treatment
Precinct,Wikimedia disambiguation page
pH meter,"instrument that indicates acidity or alkalinity in water-based solutions, expressed as pH"
Reduplication,linguistic phenomenon
Planned maintenance,"operational and functional checks, servicing, repair or replacing of a product or technical system or parts thereof in order to keep their necessary technical condition"
Transpersonal,The field of study related to Transpersonal.
Social category,hierarchical social stratification
Social consciousness,consciousness shared by individuals within a society
Consolation,psychological comforting after a trauma
Dimethyl methylphosphonate,chemical compound
Open access publishing,free distribution of knowledge
Ostensive definition,conveying the meaning of a term by pointing out examples
BARGE,The field of study related to BARGE.
Sinus venosus,embrological structure connect to right ventricle and will disapper with emryology
Play therapy,children's mental health therapy method
Tree frog,any species of frog that spends a major portion of its lifespan in trees
Green logistics,The field of study related to Green logistics.
Capacity utilization,economic term
Network switch,computer networking device that uses packet switching to forward data; one main component of the internet infrastructure and of each computer network
Isosceles triangle,triangle with at least two sides congruent
Reflective thinking,"American philosopher, psychologist, and educational reformer"
Force dynamics,The field of study related to Force dynamics.
Cooker,term that may refer to several types of cooking appliances and devices used for cooking foods
Dimensional modeling,The field of study related to Dimensional modeling.
Neural engineering,"discipline within biomedical engineering that uses engineering techniques to understand, repair, replace, or enhance neural systems"
Benzopyran,chemical compound
Control logic,The field of study related to Control logic.
Pressure control,The field of study related to Pressure control.
Co-occurrence,linguistic term for frequency of occurrence of two terms alongside each other in a certain order
Metalworking,process of making items from metal; production and processing of shaped workpieces made of metals
Public security,"the function of governments which ensures the protection of citizens, persons in their territory, organizations, and institutions against threats to their well-being"
Social pressure,"influence that a peer group, observers or individual exerts that encourages others to change their attitudes, values, or behaviors to conform the group norms. A group trying to convince a person to do something they are unwilling to do."
Clarifier,settling tanks for continuous removal of solids being deposited by sedimentation
Perilla frutescens,species of plant
Body segment,"regionalization process that divides an organism or part of an organism into a series of semi-repetitive parts, or segments, often arranged along a longitudinal axis"
Picture books,"book with images at least as important as words, commonly directed at young children and featuring a story"
Trimetazidine,drug for angina pectoris sold under many brand names
Frequency shift,Wikimedia disambiguation page
Bilingual dictionary,specialized dictionary used to translate words or phrases from one language to another
Sulfapyridine,chemical compound
Curitiba,genus of insects
Critical band,"term that describes the frequency bandwidth of the ""auditory filter"" created by the cochlea"
Churning,The field of study related to Churning.
Computer software,non-tangible executable component of a computer
Palatoplasty,Oral surgery to correct or reconstruct a human palate.
Guitar,fretted string instrument
Program director,profession
Ptolemy's table of chords,The field of study related to Ptolemy's table of chords.
Combinatorial explosion,"rapid growth of the complexity of a problem due to how the combinatorics of the problem is affected by the input, constraints, and bounds of the problem"
Industrial marketing,marketing of industrial goods and services by one business to another
Speech sound,basic unit of sound in speech
Pulmonary infection,medical term
Risk neutral,"preference that is neither risk averse nor risk seeking, so a party with such risk neutral preference is indifferent between choices with equal expected payoffs even if one choice is riskier"
Cultural conflict,disagreement among people of different cultures
Promontory,prominent mass of land that overlooks lower-lying land or a body of water
Target audience,intended or ideal recipient of a message or artistic expression
Indophenol,chemical compound
Languages of Africa,languages of a geographic region
Walden inversion,chemical reaction mechanism
Pothole (geology),The field of study related to Pothole (geology).
Dowry,"money, goods, or estate that is given by bride's family to the groom at the time of marriage"
Market intelligence,information relevant to a company's market
Rhodanine,chemical compound
Strategic complements,The field of study related to Strategic complements.
Balearic islands,autonomous community of Spain
Frequency selectivity,Wikimedia disambiguation page
Complex geometry,study of complex manifolds and several complex variables
Ecological crisis,catastrophic event regarding the environment due to human activity
Precommitment,Behavioral Economics concept
Acinonyx jubatus,large feline of the genus Acinonyx.
Radiant flux,physical quantity
Spongiosis,Intercellular epidermal edema characteristic of dermatitis
Decussation,Anatomical crossing
Street network,system of interconnecting lines and points that represent a system of streets or roads for a given area
Telecommunications equipment,"technology for conveying meaning, usually across distance"
Opiliones,order of arachnids
Chondroblastoma,Human disease
Virginity test,practice and process of determining whether a female person is a virgin
Cost allocation,The field of study related to Cost allocation.
Emptiness,"human condition is a sense of generalized boredom, social alienation and apathy; feelings of emptiness often accompany dysthymia, depression, loneliness, anhedonia, despair, or other mental/emotional disorders"
Corticotomy,The field of study related to Corticotomy.
Dot product,algebraic operation that takes two equal-length sequences of numbers
Sonification,use of sounds other than speech to convey information
Personal space,"study of human use of space and the effects that population density has on behaviour, communication, and social interaction"
Reality television,genre of television programming that documents unscripted situations and actual occurrences
Iguana,genus of reptiles
Seismic isolation,means of protecting a structure against earthquake
Flute,musical instrument of the woodwind family
Parasitic element,The field of study related to Parasitic element.
Cultural influence,society's way of life within anthropology
Model theory,study of classes of mathematical structures from the perspective of mathematical logic
Elimination reaction,type of organic reaction in which two substituents are removed from a molecule in either a one or two-step mechanism
Zeitgeist,intellectual fashion or dominant school of thought that typifies and influences the culture of a particular period in time
Technetium-99,radioactive isotope produced by fission of uranium
Cost database,The field of study related to Cost database.
Scientism,principle that scientific method is the best or only means to truth
Reverence,attitude of deep respect tinged with awe
Great vessels,large vessels that bring blood to and from the heart
Mexico city,capital city of Mexico
Crushed stone,form of construction aggregate
Phenylbutyrate,chemical compound
Home equity,market value of a homeowner's unencumbered interest in their real property
Galilean invariance,principle in classical mechanics stating that the laws of motion are the same in all inertial frames
Telephone network,system to carry telephone calls
Rumex,genus of plants
British English,forms of the English language used in the United Kingdom
Traffic model,The field of study related to Traffic model.
Chaff,protective casings of the seeds of cereal grain
Blanking,term used in video and television technology
Squalus acanthias,species of fish
Body language,a type of nonverbal communication in which physical behavior is used to express or convey
Retting,process to separate bast fibers from other plant materials by rotting the stalks in water
International studies,academic discipline
Dichlorobenzene,family of chemical compound
Homothetic transformation,a special geometric transformation that enlarges (increases) or shrinks (diminishes) objects by a scale factor that is the same in all directions according to a centric point
Target acquisition,"military term for detection, identification, and location of a target"
Speech delay,delay of speech
Urban rail transit,term for various types of local rail systems
Radiant heating,systems using temperature-controlled surfaces to exchange heat with their surrounding environment through convection and radiation
Dark skin,human skin color
Flank pain,stomach aches
Distal colon,"last part of the digestive system in vertebrate animals, including the cecum, colon, rectum, and anal canal"
Exciter,audio signal processing technique
Port wine,Portuguese fortified wine
Integrated information theory,theory within consciousness research
Intercultural learning,"area of research, study and application of knowledge about different cultures, their differences and similarities"
Facial reconstruction,medical specialty
Situation analysis,collection of methods that managers use to analyze an organization's internal and external environment
Enumerative combinatorics,area of combinatorics that deals with the number of ways that certain patterns can be formed
Hedonic regression,"revealed preference method of estimating demand or value; breaks down the item being researched into its constituent characteristics, and obtains estimates of the contributory value of each characteristic"
Drospirenone,chemical compound
Constructability,The field of study related to Constructability.
Epitome,condensed version of digital data
Real world evidence,The field of study related to Real world evidence.
Information gain,"measurement of how one probability distribution is different from a second, reference probability distribution"
PALO,boot loader
Urban computing,The field of study related to Urban computing.
Electrocution,death or severe injury by electric shock passing through the body
Polydioxanone,The field of study related to Polydioxanone.
Ride quality,how well a vehicle copes with uneven surfaces
Body posture,Physical configurations of the human body
Tectorial membrane,membrane in the cochlea of the inner ear
Lust,emotion
Sound wave,"mechanical wave that is an oscillation of pressure transmitted through a medium, composed of frequencies within hearing range"
Factor price,The field of study related to Factor price.
Motion sensors,process of detecting a change in the position of an object relative to its surroundings or a change in the surroundings relative to an object
Evangelism,spreading the Gospel of Jesus Christ for the purpose of conversion or a rapprochement with Christianity
Botryosphaeria,genus of fungi
Location data,data and information having an implicit or explicit association with a location
Elliptic orbit,Kepler's orbit with an eccentricity of less than 1
Heart catheterization,insertion of a catheter into a chamber or vessel of the heart
Incense,material that produces fragrant smoke when burned
Gastric lavage,medical procedure to clean out the contents of the stomach
Access time,The field of study related to Access time.
Libertarianism,term in metaphysics
Adobe,building material
Core protein,protein coat that surrounds the infective nucleic acid in some virus particles
Extremal combinatorics,study of maximum or minimum size of a set under given conditions
Ambulance service,type of emergency service dedicated to providing out-of-hospital acute medical care and transport to definitive care
Bison bison,species of even-toed ungulates
Linguistic landscape,The field of study related to Linguistic landscape.
Muscular fatigue,loss of ability of a muscle to generate force
Active safety,special field of security engineering
Xanthoma,deposition of yellowish cholesterol-rich material that can appear anywhere in the body in various disease states
Time value of money,conjecture that there is greater benefit to receiving a sum of money now rather than later
Fireworks,low explosive pyrotechnic devices used for aesthetic and entertainment purposes
NOMINATE,The field of study related to NOMINATE.
Pangolin,"or scaly anteaters, an order of mammals (Pholidota)"
Gradualism,class of theories in which change occurs gradually over time
Vascular wall,a tubular structure which carries blood.
Undecane,liquid alkane hydrocarbon with the chemical formula CH₃(CH₂)₉CH₃
Leptodactylidae,family of amphibians
Composability,system design principle that deals with the inter-relationships of components
Cellophane,chemical compound
Pyrazolone,"any heterocyclic compound having a five-membered ring with two nitrogen heteroatoms at 1 and 2 positions, one or two double bonds and a carbonyl group"
Solid earth,the planet's solid surface and its interior
Proclamation,official declaration
Human medicine,"field of study for diagnosing, treating and preventing disease"
Load cell,type of force transducer
Scar tissue,Wikimedia disambiguation page
Solar radio,Wikimedia disambiguation page
Syncretism (linguistics),"in linguistics, a phenomenon in which functionally distinct occurrences of a single lexeme are identical in form; e.g. in English, nominative and accusative forms of “you” coincide"
Tradescantia,genus of plants
Gold coast,Wikimedia disambiguation page
Translational motion,"in Euclidean geometry, a function that moves every point a constant distance in a specified direction"
Allotment,"plot of land sub-divided into smaller parcels for individual, non-commercial gardening or growing of food plants"
Self-affirmation,"Self-affirmation theory, initially conceived by Claude Steele in the 1980s, suggests that reflecting on your core personal values can increase your performance under stress, activate brain reward circuitry as well as a host of other benefits."
Skilled Nursing Facility,type of residential care
Palatine tonsil,tonsils located on the left and right sides at the back of the throat
Diazonium Compounds,diazonium salts
Summation by parts,theorem to simplify sums of products of sequences
Granulomatous inflammation,inflammation consisting of immune cells known as macrophages
Padding,adding data to a message prior to encryption to hide its length
Customs union,type of trade bloc with a free trade area and common external tariff
Values education,process by which people give moral values to each other
Zero waste,philosophy that encourages the redesign of resource life cycles so that all products are reused
Oxazines,"group of isomers composed of a six-membered ring differing in the position of oxygen and nitrogen heteroatoms and two double bonds, and derivatives"
Exploration geophysics,applied branch of geophysics and economic geology
Dramaturgy,art of dramatic composition
Experimental biology,The field of study related to Experimental biology.
Multirotor,rotorcraft with more than two rotors
Pumpkin seed,Seeds of pumpkins and similar curcurbits
Gold rush,new discovery of gold that brings an onrush of miners seeking their fortune
Calotropis procera,species of plant
Bazaar,type of public marketplace
Memory architecture,methods used to implement electronic computer data storage
Urticaria pigmentosa,most common form of cutaneous mastocytosis
Armillaria,genus of fungi
Box office,place where tickets are sold to the public for admission to an event
Location theory,Concept in economic geography
Carelessness,lack of awareness during a behaviour that can result in unintentional consequences
Knot tying,"method of fastening or securing linear material, such as rope, by tying or interweaving"
Social behaviour,"behavior among two or more organisms, typically from the same species"
Chlorofluorocarbon,"hydrocarbon derivative that contains only carbon, chlorine and fluorine"
Real world data,The field of study related to Real world data.
Historical archaeology,archaeological sub-discipline
Exhibitionism,act of exposing in a public or semi-public context one's suggestive body parts
Nasolabial fold,two skin folds in the face
Liquid paraffin,Wikimedia disambiguation page
Visual media,media technologies that are intended to reach a large audience by mass communication
Research policy,type of policy
Orienteering,group of sports that requires navigational skills
Magnolol,chemical compound
Severance,the division of land that does not require a plan of subdivision
Cathode ray tube,"vacuum tube that can show moving pictures, vector graphics, or lines"
Differential treatment,differential treatment based on membership of a certain group
Swainsonine,chemical compound
Phaeohyphomycosis,human disease
Aconitine,chemical compound
Zanthoxylum,genus of plants
Posterior wall,Wikimedia disambiguation page
Tropical fruit,Wikimedia list article
Fair division,problem of sharing resources
Parent education,The field of study related to Parent education.
Chaetomium globosum,dematiaceous species of fungus
Knowledge retention,"process of creating, sharing, using and managing the knowledge and information of an organization"
Almost everywhere,item used to describe a property on a set that is false only on a measurable set with zero measure
Coleus,genus of plants
Perversion,human behavior
Density wave theory,theory to explain the spiral arm structure of spiral galaxies
Retail trade,sale of goods and services from individuals or businesses to the end-user
Metalinguistic awareness,ability to objectify language as a process as well as an object
Technology gap,The field of study related to Technology gap.
Septate,The field of study related to Septate.
Dial,"a device, often circular or rectangular with numbers or other markings, used for displaying numerical values"
Place making,approach to public space design
Acer pseudoplatanus,species of plant
Infantry,military service branch concerned with combat by individuals on foot
Package design,"enclosure or protection of products for distribution, storage, and sale"
Length measurement,techniques for measuring distance
"2,4-Dinitrophenol",chemical compound
Automated guided vehicle,type of industrial mobile robot
Asymmetric simple exclusion process,Interacting particle system
Flufenamic acid,chemical compound
Unison,two or more musical parts sounding the same pitch; an interval of zero size (a frequency ratio of 1:1)
Secularity,"separateness of an organization, activity, or society from religion"
True quantified Boolean formula,The field of study related to True quantified Boolean formula.
Long wavelength limit,spatial period of the wave; the distance over which the wave's shape repeats; the inverse of the spatial frequency
Epithet,descriptive term
Educational program,program written by the institution of education which determines the learning progress of individuals
Technological evolution,theory describing technology development
History of technology,history of the invention of tools and techniques
Authorship attribution,Study of writing style
Mascara,cosmetic for eyelashes
Logarithmic scale,measurement scale based on orders of magnitude
Coproduct,"category-theoretic construction which includes as examples the disjoint union of sets and of topological spaces, the free product of groups, and the direct sum of modules and vector spaces"
Partial evaluation,The field of study related to Partial evaluation.
Dioxolane,chemical compound
Topological conjugacy,The field of study related to Topological conjugacy.
Lissajous curve,mathematical curve outputted from a specific pair of parametric equations
Car sharing,model of car rental where people rent cars for short periods of time
Soft water,water that has high mineral content
Wasserstein metric,Distance function defined between probability distributions
Colorado plateau,plateau in the southwestern United States
Comparison theorem,Wikimedia disambiguation page
Body cavity,fluid-filled space in a multicellular organism
Cashew nut,species of plant
Flor,winemaking term
Crassulaceae,family of plants
Visual literacy,The field of study related to Visual literacy.
Business sector,"subset of the economy made up by companies, excluding the economic activities of general government, private households, and nonprofit organizations serving individuals"
Church history,academic discipline studying the history of Christianity
Lecture hall,"large room used for instruction, typically at a college or university"
Laboratory test,laboratory analysis using a blood sample
Thunder,sound caused by a lightning strike
Uterine bleeding,bleeding through the vagina
Bellows,tool for blowing air
Vascular Medicine,"branch of internal medicine, which deals with vascular disease"
International comparisons,The field of study related to International comparisons.
Dynamic equilibrium,"exists once a reversible reaction ceases to change its ratio of reactants/products, but substances move between the chemicals at an equal rate, meaning there is no net change. It is a particular example of a system in a steady state"
Sensory neuropathy,nervous system disease located in nerves or nerve cells
Sense of humor,tendency of someone to point out and emphasize the comical nature of something (or the mental state that leads to this tendency)
Employee development,involves improving the effectiveness of organizations and the individuals and teams within them
Journal club,group of individuals who meet regularly to critically evaluate recent articles in the academic literature
Fabric structure,The field of study related to Fabric structure.
Mucuna pruriens,species of plant
Color term,word or phrase that refers to a specific color
Integral geometry,theory of measures on a geometrical space invariant under the symmetry group of that space
Day to day,defunct weekday National Public Radio program
Nasal bone,facial bone
Menstrual bleeding,a type of ovulation cycle where the endometrium is shed if pregnancy does not occur
Thiophosphate,The field of study related to Thiophosphate.
Gender history,Sub-field of history and gender studies
Science park,area designed to promote science or technology business development
Rhytidectomy,cosmetic surgery technique
Exponential type,type of complex function with growth bounded by an exponential function
S-wave,seismic wave
Pellagra,Human disease
Crusher,machine designed to reduce large objects into smaller ones
Nepali,Indo-Aryan (Pahari) and official language of Nepal
Transfinite number,number larger than all finite numbers
Document processing,The field of study related to Document processing.
Geophysical survey,systematic collection of geophysical data for spatial studies
Land rights,"form of law that deals with the rights to use, alienate, or exclude others from land"
Mange,class of skin diseases caused by parasitic mites
Diastase,class of enzymes
Monitoring and control,The field of study related to Monitoring and control.
Bromophenol blue,chemical compound
Pulmonary medicine,medical specialty
Public access,Wikimedia disambiguation page
Sturge–Weber syndrome,"neurological and skin disorder associated with port-wine stains of the face, glaucoma, seizures, intellectual disability, and cerebral malformations"
Eosinopenia,abnormally low level of eosinophils in the blood
Put option,financial instrument
Materials testing,Wikimedia list article
Epiglottitis,inflammation of the epiglottis
External jugular vein,Large blood vessel
Substitution effect,economic effect
Test fixture,The field of study related to Test fixture.
Social engineering (security),information security concept: psychological manipulation of people into performing actions or divulging confidential information
Heatstroke,condition caused by exposure to the sun
Safety monitoring,oversight and administrative efforts that monitor a participant's health and efficacy of the treatment during a clinical trial
Finkelstein's test,test used to diagnose de Quervain syndrome
Asymptotic formula,description of limiting behavior of a function
Water transfer,Wikimedia disambiguation page
Streaking,microbiological method for isolation
Input device,peripheral to provide data and signals to an information processing system
Free molecular flow,The field of study related to Free molecular flow.
Tropolone,chemical compound
Phronesis,ancient Greek word for a type of wisdom or intelligence
Trendelenburg position,"the body is laid supine, or flat on the back with the feet higher than the head by 15-30 degrees."
Aero engine,engine designed for use in powered aircraft
Security market,component of the wider financial market
Liquidambar styraciflua,tree species
CHARGE syndrome,"syndrome that is characterized by a pattern of congenital anomalies including choanal atresia and malformations of the heart, inner ear, and retina"
Tendril,specialisation of plant parts used to climb or bind
Sanity,"soundness, rationality and healthiness of the mind"
Efficient algorithm,property of an algorithm
Catharsis,the purification and purgation of emotions through art or any extreme change in emotion that results in renewal and restoration
Analytical procedures,Audit and assurance
Virtual observatory,collection of data archives and tools for astronomy research over the internet
Nominal group technique,decision making method for use among groups of many sizes
Imperata,genus of plants
Neutral plane,surface in a bent beam where the stresses are zero
Regression toward the mean,statistical phenomenon
Halocarbon,organic compound containing at least one covalent carbon-halogen bond
Control rod,nuclear reactor component
Contact geometry,branch of mathematics
Cola (plant),genus of plants
International trade law,The field of study related to International trade law.
Human biology,interdisciplinary area of study
North west,directional divisions marked on a compass
Seborrhoeic dermatitis,long-term skin disorder
Collation,"assembly of written information into a standard order, often numeric or alphabetical"
Policy Sciences,journal
Electronic system-level design and verification,The field of study related to Electronic system-level design and verification.
Water energy,energy derived from falling or running water
Debitage,archeological term; material produced during the process of lithic reduction
Sociology of culture,branch of sociology
Triacetin,chemical compound
Majesty,"an honorific of Monarchs, usually Kings or Emperors"
Stylistics,study and interpretation of texts from a linguistic perspective
Conveyor belt,сlose-loop rubber band used in motorized conveying system
Theta function,special functions of several complex variables
Phraseology,discipline studying phraeological units (phrasemes)
Coffee grounds,process of making coffee
Microform,"scaled-down reproductions of documents made for the purposes of transmission, storage, reading, and printing"
Epidemiology of child psychiatric disorders,The field of study related to Epidemiology of child psychiatric disorders.
Elevated transaminases,Elevations of the levels of transaminases in the serum.
Angiofibroma,medical condition
Meprobamate,chemical compound
Public involvement,participation of citizens in various policy decisions and planning processes
Lexicology,linguistic discipline
Valerian,species of plant
Geometric primitive,basic shapes represented in vector graphics
Safrole,chemical compound
Video retrieval,The field of study related to Video retrieval.
Sequential probability ratio test,The field of study related to Sequential probability ratio test.
Surgical incision,cut made into the skin for the purpose of surgery
Text entry,widget
Abdominal ultrasound,Examination of human abdomen using ultrasound device
Dithizone,chemical compound
Aircrew,"personnel operating an aircraft in flight, including pilots, systems operators, and attendants"
Tact,The field of study related to Tact.
Equivalent temperature,The field of study related to Equivalent temperature.
Monasticism,religious way of life
Complex conjugate,operation on complex numbers in which the sign of the real part is kept but the sign of the imaginary part is reversed
Creolization,process in which Creole cultures emerge in the New World
Professional responsibility,area of legal practice
Thematic apperception test,projective psychological test
Iridaceae,family of plants
Anguilla rostrata,species of fish
Vacuum level,The field of study related to Vacuum level.
Pelvic cavity,body cavity bounded by the bones of the pelvis
Prospection,Generation and evaluation of mental representations of possible futures
Social partners,The field of study related to Social partners.
PANDAS,hypothesis that there exists a subset of children with rapid onset of obsessive-compulsive disorder or tic disorders and these symptoms are caused by group A beta-hemolytic streptococcal infections
Curtius rearrangement,chemical reaction
Academic skills,institution of higher learning
Mass gap,energy difference between ground state and lightest excited state(s)
Muscle cramp,"pathological, often painful, involuntary muscle contraction"
Differential pressure,technique to measure pressure
Drop test,The field of study related to Drop test.
Lightheadedness,common and typically unpleasant sensation of dizziness
Stabiliser,food additive that helps preserve structure
Sonority hierarchy,hierarchical ranking of speech sounds
Unicode,"computing industry standard for the consistent encoding, representation and handling of text expressed in most of the world's writing systems"
Retort,glassware device used for distillation or dry distillation of substances
Punk,smoldering stick used for lighting firework fuses
Dentine hypersensitivity,Human disease
Equal opportunity,Similar treatment of all people
Global commons,The field of study related to Global commons.
Knapping,technique for shaping stone
Synchronizer,The field of study related to Synchronizer.
Wildflower,any flowering plant spread as if naturally
Text processing,creating or manipulating electronic text
Eternity,"endless time, an infinite duration"
Stirling number,important sequences in combinatorics
Ailuropoda melanoleuca,species of mammal
Mental hospital,hospital treating serious mental disorders
Entry Level,The field of study related to Entry Level.
Apium graveolens,species of edible plant
Microscale thermophoresis,The field of study related to Microscale thermophoresis.
RAYNAUD DISEASE,medical condition in which spasm of arteries cause episodes of reduced blood flow
Extended family,family that extends beyond the immediate family
System requirements,environment needed to run software
Citrus unshiu,species of plant
Exchange economy,The field of study related to Exchange economy.
Kaleidoscope,constraint programming language embedding constraints into an imperative object-oriented language
Astemizole,chemical compound
Prior information,Wikimedia disambiguation page
Nike,Wikimedia disambiguation page
Phlegmon,medical condition
InfiniBand,"high-speed, low-latency computer networking bus"
Doris (gastropod),genus of molluscs
Vitex,genus of plants
Ionone,group of isomers
Digital printing,method of printing
Trace Minerals,chemical element required as an essential nutrient by organisms to perform functions necessary for life
Combinatorial analysis,branch of discrete mathematics
Chromoblastomycosis,long-term fungal infection of the skin and subcutaneous tissue
Anthropic principle,philosophical consideration that observations of the Universe must be compatible with the conscious and sapient life that observes it
Error function,"sigmoid shape special function which occurs in probability, statistics and partial differential equations"
Mycetoma,chronic subcutaneous infection caused by aerobic actinomycetic bacteria  or fungi
Cycle count,The field of study related to Cycle count.
Cunninghamia,genus of plants
Pectoral muscle,"group of muscles that connect the front of the human chest with the bones of the upper arm and shoulder, consisting of pectoralis major, pectoralis minor, and other muscles"
Ethnobiology,the scientific study of the way living things are treated or used by different human cultures
Hymn,combination of text and tune specifically written for the purpose of adoration or prayer
Nasion,intersection of the frontal bone and two nasal bones of the human skull
Azygos vein,vein
Automatic weather station,set of sensors that record and provide physical measurements and meteorological parameters without any human intervention
Cod liver oil,dietary supplement derived from liver of cod fish
Skylight,window in the ceiling-roof
Escapement,mechanism in clocks
Environmental design,"the process of addressing surrounding environmental parameters when devising plans, programs, policies, buildings, or products"
Hunter syndrome,mucopolysaccharidosis characterized by a deficiency of the lysosomal enzyme iduronate sulfatase
Drug prices,The field of study related to Drug prices.
Squalane,chemical compound
Psychosomatics,journal
Sulfinic acid,class of compounds
Border Security,Wikimedia disambiguation page
Emotional well-being,"emotional quality experienced by an individual, which is influenced by a variety of demographic, economic, and situational factors"
Salt dome,geological structure
Vegetable Proteins,"edible plant or part of a plant, involved in cooking"
Agricultural pest,plant or animal detrimental to humans or human concerns
Aortoiliac occlusive disease,medical condition
Osteodystrophy,dystrophic growth of the bone
Classicism,art movement; architectural style
Proximate and ultimate causation,The field of study related to Proximate and ultimate causation.
Remotely operated vehicle,tethered underwater mobile device operated by a remote crew
Brauer group,abelian group related to division algebras
Teachable moment,The time at which learning a particular topic or idea becomes possible or easiest.
Forensic odontology,application of dental knowledge to those criminal and civil laws that are enforced by police agencies in a criminal justice system
Hellinger distance,The field of study related to Hellinger distance.
Data striping,technique of segmenting data so that consecutive segments are stored on different physical storage devices
Distributed manufacturing,The field of study related to Distributed manufacturing.
Wave speed,Wikimedia disambiguation page
Night vision,ability to see in low light conditions
Cube root,number which produces a given number when cubed
Pine wood,genus of plants
Biomedical sciences,"set of applied sciences applying portions of natural science or formal science, or both, to knowledge, interventions, or technology that are of use in healthcare or public health"
Gymnema sylvestre,species of plant
Differentiated instruction,term
Fine-tuning,adjustment of parameters to fit data in theoretical physics
Atrial septum,The interatrial septum is the wall of tissue that separates the right and left atria of the heart.
Panicum miliaceum,species of plant
Expressivism,"metaethical theory that moral sentences are not descriptive, but express an evaluative attitude toward an object"
Stable manifold,The field of study related to Stable manifold.
Dynamic positioning,automatic ship station- and heading-holding systems
Hodograph,fluids: graphical representation of fluid flow in velocity space
Market system,The field of study related to Market system.
Nerve fibre,the long process of a neuron that conducts nerve impulses
Quadratic form (statistics),in statistics
Interactive video,combination of linear film or video with user interaction
Inner product space,real or complex vector space with an additional structure called an inner product
Carrot juice,juice produced from carrots
Gas gangrene,Human disease
Igbo,native language of the Igbo people
Bookkeeping,recording and picking up business transactions
Chemical Dynamics,Study of the rates of chemical reactions
Plotter,computer output device that draws on or cuts into paper or other materials by moving a pen or knife
Address space,"range of discrete addresses, each of which may correspond to a network host, peripheral device, disk sector, a memory cell or other logical or physical entity"
Packaging engineering,The field of study related to Packaging engineering.
Pine barrens,type of forest found in Scandinavia
Consumer information,Wikimedia disambiguation page
Gas oil ratio,The field of study related to Gas oil ratio.
Voice analysis,The field of study related to Voice analysis.
Truth condition,Condition required for a semantic statement to be true
Airport security,measures to prevent crime at an airport
Breadboard,board of holes that allows for electronics to be wired without soldering
Sequential Pattern Mining,The field of study related to Sequential Pattern Mining.
Universal Design for Learning,an educational framework based on research in the learning sciences
Market sentiment,general attitude of investors to market price development
Stingray,suborder of fishes
Ideal point,point at infinity in hyperbolic geometry
Dig,network administration command-line tool
Baptism,"Christian rite of admission and adoption, almost invariably with the use of water"
Global South,socio-economic and political divide
Reaction,part of Newton's laws
Liver dysfunction,disorder of the human liver
Isostere,group of simillar molecules or ions
Plant identification,the process of matching a specimen of an organism to a known taxon
Doxastic logic,modal logic concerned with reasoning about beliefs
Structural chemistry,branch of chemistry
Impromptu,Mac OS X programming environment for live coding
Burning Sensation,2017 album
Inorganic Chemical,"compound that is not organic: i.e. does not contain carbon with exceptions e.g. CO, carbon dioxide, disulfide and diselenide, carbides, HCN, carbonic acid, cyanic, isocyanic and fulminic acids and carbonates, hydrogen carbonates, cyanides, cyanates"
Surgical team,medical specialty
Modern medicine,"field of study for diagnosing, treating and preventing disease"
Diffuse alveolar hemorrhage,medical condition
Moisturizer,type of cosmetics
Language function,theory of language
Logical framework,The field of study related to Logical framework.
Soya bean,species of plant
Logical form,"form for logical arguments, obtained by abstracting from the subject matter of its content terms"
Block cipher mode of operation,algorithm that uses a block cipher to provide an information service such as confidentiality or authenticity
Energy distribution,final stage of electricity delivery to individual consumers in a power grid
Travel writing,literary genre
Sufficient statistic,concept
Fair use,limitation and exception to the exclusive right granted by copyright law to the author of a creative work
Statically indeterminate,The field of study related to Statically indeterminate.
Cynodon,genus of plants
Digital rights management,technology to control access to software or digital content
Computational sociology,branch of sociology that uses computational methods to study social phenomena
Religious diversity,positive interaction of different religious people
Manatee,genus of mammals
Moneyness,state of an financial option or other derivative; current price of the underlying relative to strike price
Sparse grid,The field of study related to Sparse grid.
Diketopiperazines,class of chemical compounds
Laurent series,power series generalized to allow negative powers
Olive leaf,herbal medicinal product
Medical mycology,fungus that causes disease in humans or other organisms
Brief psychotherapy,The field of study related to Brief psychotherapy.
Human behavior,array of physical actions and observable emotions associated with humans
Technological revolution,period in which one or more technologies is replaced by another technology in a short amount of time
CRTS,Wikimedia disambiguation page
Maltese,Semitic language spoken mostly in Malta
Strategic Choice,American-bred Thoroughbred racehorse
Niche market,subset of the market on which a specific product is focusing
Suction blister,The field of study related to Suction blister.
Shift-share analysis,The field of study related to Shift-share analysis.
Filial piety,Confucian virtue
Flail chest,Life-threatening medical condition that occurs when a segment of the rib cage breaks due to trauma and becomes detached from the rest of the chest wall
Spire (mollusc),Part of a mollusc shell
