topic_name,topic_description
Constant Q transform,The field of study related to Constant Q transform.
Uniform theory of diffraction,The field of study related to Uniform theory of diffraction.
Suppressor mutation,The field of study related to Suppressor mutation.
Flute,musical instrument of the woodwind family
Chemosensitizer,The field of study related to Chemosensitizer.
Parasitic element,The field of study related to Parasitic element.
Stocking rate,The field of study related to Stocking rate.
Macrocyclic ligand,The field of study related to Macrocyclic ligand.
Liquid crystal on silicon,overview about liquid crystal on silicon
Model theory,study of classes of mathematical structures from the perspective of mathematical logic
Endogenous depression,mental depression that is characterized by a dysregulation of the endogenous opioid system and not of the monaminergic system
Elimination reaction,type of organic reaction in which two substituents are removed from a molecule in either a one or two-step mechanism
Kripke semantics,The field of study related to Kripke semantics.
Coracoid process,The field of study related to Coracoid process.
Sufficient dimension reduction,paradigm for analyzing data that combines the ideas of dimension reduction with the concept of sufficiency
Zeitgeist,intellectual fashion or dominant school of thought that typifies and influences the culture of a particular period in time
Fastigial nucleus,Grey matter nucleus in the cerebellum
Technetium-99,radioactive isotope produced by fission of uranium
Double exponential function,Exponential function of an exponential function
Content and language integrated learning,CLIL is a language instruction approach to teach languages embedded in other subjects
RC circuit,electric circuit composed of resistors and capacitors driven by a voltage or current source
Anti-racism,"beliefs, actions, movements, and policies adopted or developed to oppose racism"
Boriding,The field of study related to Boriding.
Cost database,The field of study related to Cost database.
Vestibular aqueduct,The field of study related to Vestibular aqueduct.
Scientism,principle that scientific method is the best or only means to truth
Reverence,attitude of deep respect tinged with awe
Pair programming,collaborative technique for software development
Great vessels,large vessels that bring blood to and from the heart
Waardenburg syndrome,Genetic condition involving hearing loss and depigmentation
Target strength,measure of the reflection coefficient of a sonar target
Middle level,Waterway network in eastern England
Intelligent word recognition,computer recognition of written words
Mexico city,capital city of Mexico
Multimedia Broadcast Multicast Service,point-to-multipoint interface specification for existing and upcoming 3GPP cellular networks
Crushed stone,form of construction aggregate
Blood stasis,Concept in traditional Chinese medicine
Carbonate compensation depth,depth in the oceans below which no sediment particles are preserved than consist of calcium carbonate
Home equity,market value of a homeowner's unencumbered interest in their real property
Complement deficiency,"primary immunodeficiency disease that is the result in a mutation of a gene encoding one of the thirty complement system proteins, produced predominantly in liver, which function to defend against infection and produce inflammation"
Haloferax volcanii,species of Halobacteria
Galilean invariance,principle in classical mechanics stating that the laws of motion are the same in all inertial frames
Constraint satisfaction dual problem,"a reformulation of a constraint satisfaction problem expressing each constraint of the original problem as a variable. Dual problems only contain binary constraints, and are therefore solvable by algorithms tailored for such problems"
Telephone network,system to carry telephone calls
British English,forms of the English language used in the United Kingdom
Hybrid automaton,The field of study related to Hybrid automaton.
Network processor,The field of study related to Network processor.
Values,"in cultural heritage, criterion used to assess significance, prioritize resources, and inform conservation decision-making"
Chaff,protective casings of the seeds of cereal grain
In situ conservation,conservation process in India
Blanking,term used in video and television technology
Language ideology,concept of language having or being influenced by ideology
Rendleman–Bartter model,short rate model describing the evolution of interest rates
Polytrope,solution of the Lane-Emden pressure-density equation for astrophysical bodies
Body language,a type of nonverbal communication in which physical behavior is used to express or convey
Retting,process to separate bast fibers from other plant materials by rotting the stalks in water
Nuclear magnetic resonance crystallography,The field of study related to Nuclear magnetic resonance crystallography.
Stellite,carbon containing wear resistant cobalt-chromium alloys
Capacitance probe,The field of study related to Capacitance probe.
Critical ethnography,The field of study related to Critical ethnography.
Memory protection,"way to control memory access rights on a computer, and is a part of most modern instruction set architectures and operating systems"
Leptoquark,hypothetical particles with both lepton and baryon number
Geobiology,study of the interactions between the physical Earth and the biosphere
Land consolidation,planned readjustment and rearrangement of land parcels and their ownership
Coupled map lattice,The field of study related to Coupled map lattice.
Solder paste,material used in the manufacture of printed circuit boards to connect surface-mount components to pads on the board
Biologic Agents,pathogen that can be weaponized
Mathematical formulation of quantum mechanics,mathematical structures that allow quantum mechanics to be explained
T wave alternans,variation in the T wave in an electrocardiogram
Mastopexy,a surgical procedure to raise and firm the breast which is performed by removing excess skin and tissue
Sunyaev–Zel'dovich effect,distortion of cosmic microwave background in galaxy clusters
Performance audit,The field of study related to Performance audit.
Homothetic transformation,a special geometric transformation that enlarges (increases) or shrinks (diminishes) objects by a scale factor that is the same in all directions according to a centric point
Consanguineous Marriage,marriage between relatives
Coated urea,The field of study related to Coated urea.
Diatreme,volcanic pipe formed by a gaseous explosion
Sprung mass,The field of study related to Sprung mass.
Halley's Comet,Short-period comet visible from Earth every 75–76 years
Habitability of orange dwarf systems,overview of the habitability of K-type main-sequence star systems
Overlap extension polymerase chain reaction,The field of study related to Overlap extension polymerase chain reaction.
Open pollination,variety of concepts in the context of the sexual reproduction of plants
Nanowire battery,The field of study related to Nanowire battery.
Target acquisition,"military term for detection, identification, and location of a target"
Speech delay,delay of speech
Inframammary fold,anatomical line below the breasts
Martingale pricing,The field of study related to Martingale pricing.
Top quark condensate,The field of study related to Top quark condensate.
Monetary system,set of institutions by which a government provides money in a country's economy
Focused Impedance Measurement,The field of study related to Focused Impedance Measurement.
Rebaudioside A,Rebaudioside
Dark skin,human skin color
Port wine,Portuguese fortified wine
Tax incidence,The field of study related to Tax incidence.
Microheater,microheater
ZBLAN,"family of glass compositions based on Zr, Ba, La, Al, and Na fluorides"
Corrective maintenance,"maintenance task performed to identify, isolate, and rectify a fault so that the failed equipment, machine, or system can be restored to an operational condition"
Antarctic oscillation,The field of study related to Antarctic oscillation.
Integrated information theory,theory within consciousness research
Intercultural learning,"area of research, study and application of knowledge about different cultures, their differences and similarities"
Axle load,The field of study related to Axle load.
Public reason,The field of study related to Public reason.
Chaotic scattering,branch of chaos theory dealing with scattering systems displaying a strong sensitivity to initial conditions
Situation analysis,collection of methods that managers use to analyze an organization's internal and external environment
Enumerative combinatorics,area of combinatorics that deals with the number of ways that certain patterns can be formed
CHAID,The field of study related to CHAID.
Interest rate swap,linear interest rate derivative involving exchange of interest rates between two parties
Selective leaching,The field of study related to Selective leaching.
Open Knowledge Base Connectivity,The field of study related to Open Knowledge Base Connectivity.
Imaginary time,Wick-rotated time coordinates in relativistic field theory
Postural Orthostatic Tachycardia Syndrome,condition in which a change from lying to standing causes an abnormally large increase in heart rate
Core product,"company's primary promotion, service or product"
Constructability,The field of study related to Constructability.
Soil gradation,classification of coarse-grained soil that ranks the soil based on different particle sizes
Mating design,The field of study related to Mating design.
Epitome,condensed version of digital data
Compression artifact,noticeable distortion of media caused by the application of lossy data compression
Laplacian smoothing,The field of study related to Laplacian smoothing.
Lanthanide contraction,Decrease of ionic radii across the lanthanide series
Geometric quantization,mathematical approach to defining a quantum theory corresponding to a given classical theory
Retained earnings,accumulated net income (or loss) of the corporation that is retained by the corporation
PALO,boot loader
Urban computing,The field of study related to Urban computing.
Tourbillon,addition to the mechanics of a watch escapement
Attention span,time spent without distraction
Pulmonary gas pressures,The field of study related to Pulmonary gas pressures.
Lumbar plexus,Nerve plexus
Dentofacial Deformity,The field of study related to Dentofacial Deformity.
Cofibration,The field of study related to Cofibration.
Electrocution,death or severe injury by electric shock passing through the body
Spin-weighted spherical harmonics,The field of study related to Spin-weighted spherical harmonics.
Kanji,adopted logographic Chinese characters used in the modern Japanese writing system
Polydioxanone,The field of study related to Polydioxanone.
Ride quality,how well a vehicle copes with uneven surfaces
Net interest margin,Net Interest Margin
Industrial gas,gaseous materials produced for use in industry
Group representation,group homomorphism into the general linear group over a vector space
Tectorial membrane,membrane in the cochlea of the inner ear
Obestatin,protein in humans
Sverdrup,non-SI metric unit of flow
Geocentric orbit,orbit around Earth
Factor price,The field of study related to Factor price.
Molecular-weight size marker,The field of study related to Molecular-weight size marker.
Evangelism,spreading the Gospel of Jesus Christ for the purpose of conversion or a rapprochement with Christianity
Location data,data and information having an implicit or explicit association with a location
Aquaculture of tilapia,The field of study related to Aquaculture of tilapia.
Resonant converter,The field of study related to Resonant converter.
Elliptic orbit,Kepler's orbit with an eccentricity of less than 1
Pinion,The field of study related to Pinion.
Sufism,body of mystical practice within Islam
Bessel process,The field of study related to Bessel process.
Indeterminate growth,The field of study related to Indeterminate growth.
Identity matrix,square matrix with ones on the main diagonal and zeros elsewhere
Goal Attainment Scaling,The field of study related to Goal Attainment Scaling.
Kinship care,The field of study related to Kinship care.
Incense,material that produces fragrant smoke when burned
Gastric lavage,medical procedure to clean out the contents of the stomach
Birth attendant,The field of study related to Birth attendant.
Access time,The field of study related to Access time.
Islamic republic,theocratic republic based Islamic principles
Diphthong,combination of two adjacent vowel sounds
Libertarianism,term in metaphysics
Primary alcohol,alcohol with one OH group hanging on a C in turn connected to 1 other C atom and 2 H atoms
Extremal combinatorics,study of maximum or minimum size of a set under given conditions
Bison bison,species of even-toed ungulates
Nemaline myopathy,congenital structural myopathy characterized by generally non-progressive muscle weakness of varying severity
Allelic heterogeneity,phenomenon in which different mutations at the same locus cause the same phenotype
Linguistic landscape,The field of study related to Linguistic landscape.
Geographic mobility,measure of how populations and goods move over time
Cellulite,Skin dimpling condition in most postpubescent females
Keggin structure,The field of study related to Keggin structure.
CXCR4 antagonist,substance which blocks the CXCR4 receptor
Xanthoma,deposition of yellowish cholesterol-rich material that can appear anywhere in the body in various disease states
Time value of money,conjecture that there is greater benefit to receiving a sum of money now rather than later
Fireworks,low explosive pyrotechnic devices used for aesthetic and entertainment purposes
MODTRAN,atmospheric radiative transfer code and algorithm
BDNA test,The field of study related to BDNA test.
Trial registration,The field of study related to Trial registration.
Product metric,The field of study related to Product metric.
NOMINATE,The field of study related to NOMINATE.
Pangolin,"or scaly anteaters, an order of mammals (Pholidota)"
Parietal bone,"bone in the human skull which, when joined together, forms the sides and roof of the cranium"
Lattice-based cryptography,constructions of cryptographic primitives that involve lattices
Integer factorization,Decomposition of an integer into a product
Pars interarticularis,The field of study related to Pars interarticularis.
Feral cat,domestic cat that has returned to the wild
Gradualism,class of theories in which change occurs gradually over time
Hesiod,The field of study related to Hesiod.
Salutogenesis,factors favouring health
Undecane,liquid alkane hydrocarbon with the chemical formula CH₃(CH₂)₉CH₃
Burke's theorem,theorem in queueing theory
Iterated logarithm,the inverse function to a tower of powers
Energy recovery ventilation,The field of study related to Energy recovery ventilation.
Composability,system design principle that deals with the inter-relationships of components
Lumbar arteries,The field of study related to Lumbar arteries.
Feminist epistemology,examination of the study of knowledge from a feminist standpoint
Anophthalmia,absence of one or both eyes
Cubital tunnel,The field of study related to Cubital tunnel.
Prins reaction,The field of study related to Prins reaction.
Anterior compartment of thigh,muscles which extend the knee and flex the hip
Received signal strength indication,measurement of the power present in a received radio signal
Negation as failure,non-monotonic inference rule implying that the impossibility to derive a statement allows to infer its negation
Outer membrane efflux proteins,The field of study related to Outer membrane efflux proteins.
Historically black colleges and universities,colleges and universities for African-Americans in the USA established before 1964
Chinese Classification of Mental Disorders,psychiatric classification system
Model minority,view that a group that achieves a higher degree of socioeconomic success than the population at large
Solid earth,the planet's solid surface and its interior
Boomerang attack,The field of study related to Boomerang attack.
Proclamation,official declaration
Carbohydrate deficient transferrin,laboratory test used to help detect heavy ethanol consumption
Green criminology,The field of study related to Green criminology.
Photopheresis,The field of study related to Photopheresis.
High-energy phosphate,The field of study related to High-energy phosphate.
Load cell,type of force transducer
Quadratic variation,quantity defined for a stochastic process; its finiteness ensures that stochastic calculus works properly
Induced ovulation,The field of study related to Induced ovulation.
Diction,distinctive vocabulary choices
Oxy-fuel,The field of study related to Oxy-fuel.
Syncretism (linguistics),"in linguistics, a phenomenon in which functionally distinct occurrences of a single lexeme are identical in form; e.g. in English, nominative and accusative forms of “you” coincide"
Protein synthesis inhibitor,compound which inhibits the synthesis of proteins
Drill string,The field of study related to Drill string.
Promyelocyte,granulocyte precursor cell
Formal power series,"generalization of a polynomial, where the number of terms is allowed to be infinite, defined algebraically without consideration of convergence (so that e.g. evaluation is not always defined)"
Mysidacea,"Mysidacea - an outdated taxonomic concept, broader than Mysida"
Ternary plot,barycentric plot on three variables
Anomeric effect,"stereoelectronic effect, tendency of heteroatomic substituents adjacent to a heteroatom within a cyclohexane ring to prefer the axial orientation instead of the less hindered equatorial orientation that would be expected from steric considerations"
Fundamental interaction,"any of the physical interactions or forces: gravitational, electromagnetic, strong nuclear, and weak nuclear"
Euler–Lagrange equation,Second-order partial differential equation whose solutions are the functions for which a given functional is stationary
Antimutagen,agent that reduce the frequency or rate of spontaneous or induced mutations independently of the mechanism involved
Resonant ultrasound spectroscopy,The field of study related to Resonant ultrasound spectroscopy.
Translational motion,"in Euclidean geometry, a function that moves every point a constant distance in a specified direction"
Geosyncline,obsolete geological concept
Allotment,"plot of land sub-divided into smaller parcels for individual, non-commercial gardening or growing of food plants"
CRANBERRY JUICE,juice of the cranberry
Boarding school,school where many of the students also live throughout much of the academic year
Self-affirmation,"Self-affirmation theory, initially conceived by Claude Steele in the 1980s, suggests that reflecting on your core personal values can increase your performance under stress, activate brain reward circuitry as well as a host of other benefits."
Field hockey,team sport version of hockey played on grass or turf with sticks and a round ball
Wernicke's encephalopathy,"presence of neurological symptoms caused by biochemical lesions of the central nervous system after exhaustion of B-vitamin reserves,"
Multi-commodity flow problem,The field of study related to Multi-commodity flow problem.
Palatine tonsil,tonsils located on the left and right sides at the back of the throat
Diazonium Compounds,diazonium salts
Summation by parts,theorem to simplify sums of products of sequences
Macroglossia,enlargement of the tongue
Padding,adding data to a message prior to encryption to hide its length
Alternator,electromechanical device that converts mechanical energy to electrical energy in the form of alternating current
Customs union,type of trade bloc with a free trade area and common external tariff
Values education,process by which people give moral values to each other
Renewable portfolio standard,The field of study related to Renewable portfolio standard.
Zero waste,philosophy that encourages the redesign of resource life cycles so that all products are reused
Conformal gravity,gravity theories that are invariant under Weyl transformations
Journal ranking,tool used for ranking academic journals
Oxazines,"group of isomers composed of a six-membered ring differing in the position of oxygen and nitrogen heteroatoms and two double bonds, and derivatives"
Takotsubo syndrome,Sudden temporary weakening of the heart muscle
Exploration geophysics,applied branch of geophysics and economic geology
Dramaturgy,art of dramatic composition
Experimental biology,The field of study related to Experimental biology.
Bulla (seal),seal
Posterior interosseous nerve,motor nerve of the forearm
Multirotor,rotorcraft with more than two rotors
Dural venous sinuses,venous channels in the dura mater
Alexander polynomial,knot invariant
Anterior cranial fossa,part of skull housing the projecting frontal lobes of the brain
Gift giving,object given without the expectation of payment
Lithic fragment,The field of study related to Lithic fragment.
Primary cell,battery designed to be used once
American exceptionalism,ideology holding the United States as unique among nations; facet of nationalism in the United States
Pumpkin seed,Seeds of pumpkins and similar curcurbits
Nucleic acid methods,techniques used to study nucleic acids: DNA and RNA
Gold rush,new discovery of gold that brings an onrush of miners seeking their fortune
Federal budget,major plan for a federal government's estimated future revenues and spending for the coming fiscal year
Rotating biological contactor,The field of study related to Rotating biological contactor.
Crank–Nicolson method,finite difference method for numerically solving parabolic differential equations
Neuroevolution,form of artificial intelligence that uses evolutionary algorithms to generate artificial neural networks
Radar horizon,distance at which the radar beam rises enough above the Earth's surface to make detection of a target at low level impossible
Bazaar,type of public marketplace
Weighted sum model,model for decision analysis
Memory architecture,methods used to implement electronic computer data storage
Zener pinning,The field of study related to Zener pinning.
Disinflation,The field of study related to Disinflation.
Copy protection,"method or effort designed to prevent the reproduction of software, films, music, and other media, usually for copyright reasons"
Urticaria pigmentosa,most common form of cutaneous mastocytosis
Electromagnetic suspension,magnetic levitation of an object achieved by constantly altering the strength of a magnetic field
Azo compound,"class of organic compounds bearing the functional group R–N=N–R′, in which R and R′ can be either aryl or alkyl"
Box office,place where tickets are sold to the public for admission to an event
Composite image filter,electronic filter
Normal bundle,The field of study related to Normal bundle.
Location theory,Concept in economic geography
Council of Ministers,name for the supreme executive in some countries or states
Carelessness,lack of awareness during a behaviour that can result in unintentional consequences
Agent architecture,The field of study related to Agent architecture.
Corn ethanol,ethanol produced from corn biomass
Asset quality,The field of study related to Asset quality.
Knot tying,"method of fastening or securing linear material, such as rope, by tying or interweaving"
Nonwoven fabric,sheet of fibers
Chlorofluorocarbon,"hydrocarbon derivative that contains only carbon, chlorine and fluorine"
Pulse-frequency modulation,represents an analog signal using only two levels
Concurrent constraint logic programming,The field of study related to Concurrent constraint logic programming.
Exhibitionism,act of exposing in a public or semi-public context one's suggestive body parts
Indigenous language,language that is native to a region and spoken by indigenous peoples
Shunt generator,The field of study related to Shunt generator.
Nasolabial fold,two skin folds in the face
Indeterminism,"concept that events (certain events, or events of certain types) are not caused, or not caused deterministically (cf. causality) by prior events"
Optical chaos,chaos generated by laser instabilities
Corona radiata (embryology),cellular mantle around egg cell
Geocast,sending a message to all computers on a network in a geographic location
Platelet-poor plasma,The field of study related to Platelet-poor plasma.
Key frame,drawing that defines the starting and ending points of any smooth transition
Post's inversion formula,The field of study related to Post's inversion formula.
Provable security,The field of study related to Provable security.
Child marriage,marriage or informal union entered into by an individual before reaching the age of 18
Fibre optic gyroscope,gyroscope that uses fiber optics and light interference
C-RAN,The field of study related to C-RAN.
Biopanning,The field of study related to Biopanning.
Microbial enhanced oil recovery,The field of study related to Microbial enhanced oil recovery.
Orienteering,group of sports that requires navigational skills
Luxol fast blue stain,The field of study related to Luxol fast blue stain.
Proceptive phase,Courting phase of a reproductive relationship
Severance,the division of land that does not require a plan of subdivision
Elmore delay,The field of study related to Elmore delay.
Compact operator on Hilbert space,The field of study related to Compact operator on Hilbert space.
Hybrid seed,produced by cross-pollinated plants
Free carrier absorption,"occurs when a material absorbs a photon, and a carrier is excited from an already-excited state to another, unoccupied state in the same band"
Vermiform,The field of study related to Vermiform.
Renal oncocytoma,"tumour of the kidney made up of oncocytes, a special kind of cell"
Surge Capacity,The field of study related to Surge Capacity.
Fixed-point property,The field of study related to Fixed-point property.
Braking system,mechanical device that inhibits motion
Rich Internet application,Web application that has many of the characteristics of desktop application software
Interference lithography,technique for patterning photomasks
Information center,combination of tourist centre and museum directly related to a point of interest or the local area
Functional testing,testing of a software application for its functional requirements
Ice field,extensive area of interconnected valley glaciers
Greenberger–Horne–Zeilinger state,highly entangled quantum state of 3 or more qubits
Growth management,The field of study related to Growth management.
Holter monitor,portable device for continuously monitoring various electrical activity of the cardiovascular system for at least 24 hours (often for two weeks at a time)
Gemology,science dealing with natural and artificial gems and gemstones
Cycloid,curve traced by a point on a circle as it rolls along a straight line without slipping
Reverse Transcription Loop-mediated Isothermal Amplification,molecular biology method used to detect specific RNA sequences
Plagiocephaly,distortion of the skull
Proportional navigation,The field of study related to Proportional navigation.
Glucose meter,medical device for determining the concentration of glucose in the blood
SGML,markup language
Throat culture,The field of study related to Throat culture.
Symmetrical components,"in electrical engineering, analysis of unbalanced three-phase power systems"
Deskilling,elimination of skilled labor from an economy due to the introduction of new technology
Atomic theory,scientific theory that views matter as made up of atoms of chemical elements
Multicritical point,The field of study related to Multicritical point.
Relatively hyperbolic group,The field of study related to Relatively hyperbolic group.
Fractal compression,Method of digital image compression
Common knowledge (logic),"in a mathematical game, a statement that players know and also know that other players know (ad infinitum)"
Uterine myomectomy,surgical removal of uterine fibroid
Photooxygenation,The field of study related to Photooxygenation.
Fair division,problem of sharing resources
Algebraic Reconstruction Technique,technique in computed tomography
Parent education,The field of study related to Parent education.
Chaetomium globosum,dematiaceous species of fungus
Kinematics equations,constraint equations of a mechanical system
Almost everywhere,item used to describe a property on a set that is false only on a measurable set with zero measure
Voice coil,The field of study related to Voice coil.
Tympanostomy tube,The field of study related to Tympanostomy tube.
Woodland caribou,subspecies of caribou
Giant magnetoimpedance,The field of study related to Giant magnetoimpedance.
Jewish identity,perceiving oneself as a Jew
Process capability index,Cp=Cpk
Metal particle,List of standardised tape types and underlying magnetic materials and technologies
Racing slick,type of tire used in auto racing
Perversion,human behavior
Noise margin,The field of study related to Noise margin.
Murine typhus,"typhus transmitted by fleas (Xenopsylla cheopis), usually on rats"
Density wave theory,theory to explain the spiral arm structure of spiral galaxies
Colles' fracture,fracture of the distal radius bone
Cherenkov Telescope Array,multinational open observatory project to build a new generation ground-based gamma-ray instrument in the energy range extending from some tens of GeV to about 300 TeV
Vaccine safety,adverse event caused by vaccination
Tumescence,normal engorgement with blood of the erectile tissues
Signal-averaged electrocardiogram,The field of study related to Signal-averaged electrocardiogram.
Black silicon,The field of study related to Black silicon.
Information assurance,"practice of assuring information and managing risks related to the use, processing, storage, and transmission of information or data, including protection of the integrity, availability, authenticity, non-repudiation and confidentiality of user data"
Metalinguistic awareness,ability to objectify language as a process as well as an object
Subdural space,Potential space between the arachnoid and dura maters
Abelian von Neumann algebra,The field of study related to Abelian von Neumann algebra.
Technology gap,The field of study related to Technology gap.
Septate,The field of study related to Septate.
Dial,"a device, often circular or rectangular with numbers or other markings, used for displaying numerical values"
Bipolar outflow,two continuous flows of gas from the poles of a star
Leakage power,gradual transfer of electrical energy across a boundary normally viewed as insulating
Arteriovenous Anastomosis,connection between blood vessels
Infantry,military service branch concerned with combat by individuals on foot
Context analysis,method to analyze the environment in which a business operates
Dispute mechanism,The field of study related to Dispute mechanism.
Liptinite,The field of study related to Liptinite.
Potential applications of carbon nanotubes,The field of study related to Potential applications of carbon nanotubes.
Indoctrination,"process of forcibly inculcating ideas, attitudes, cognitive strategies or a professional methodology by coercion"
Rural management,"study of planning, organising, directing, and controlling of co-operatives, agribusiness and allied fields"
Automated guided vehicle,type of industrial mobile robot
Game reserve,entity reserved for game
Fiber-optic communication,method of transmitting information from one place to another by sending pulses of light through an optical fiber
Structural proof theory,The field of study related to Structural proof theory.
Little finger,smallest finger of the human hand
Packet drop attack,type of denial-of-service attack in which a compromised router deliberately discards packets
Mutual coherence,The field of study related to Mutual coherence.
Unison,two or more musical parts sounding the same pitch; an interval of zero size (a frequency ratio of 1:1)
Carcinosis,Cancer of epithelial cells
Secularity,"separateness of an organization, activity, or society from religion"
True quantified Boolean formula,The field of study related to True quantified Boolean formula.
Epithet,descriptive term
Non-deterministic Turing machine,"may have a set of rules that prescribes more than one action for a given situation; state and tape symbol no longer uniquely specify things; rather, many different actions may apply for the same combination of state and symbol"
Occlusive dressing,The field of study related to Occlusive dressing.
Automorphisms of the symmetric and alternating groups,The field of study related to Automorphisms of the symmetric and alternating groups.
Bunker,defensive military building
Polynomial hierarchy,hierarchy of complexity classes between P and PSPACE
Tunnel ionization,The field of study related to Tunnel ionization.
Dingo,canid subspecies native to Australia
Rescue robot,robot that has been designed for the purpose of rescuing people
Luminescent bacteria,The field of study related to Luminescent bacteria.
Intrapreneurship,act of behaving like an entrepreneur while working within a large organization
Half-metal,The field of study related to Half-metal.
Operating leverage,measure of how revenue growth translates into growth in operating income
Symbol rate,rate of modulation of a digital signal
Educational program,program written by the institution of education which determines the learning progress of individuals
Beta function (physics),function that encodes the dependence of a coupling parameter on the energy scale
Sectarianism,political or cultural conflict between social groups
Technological evolution,theory describing technology development
Eosinophilic pneumonia,"disease in which an eosinophil, a type of white blood cell, accumulates in the lung"
History of technology,history of the invention of tools and techniques
Forum spam,Posts on Internet forums that contains related or unrelated advertisements
Nuclear drip line,boundary on the periodic table demarcating where atomic nuclei decay by emitting protons or neutrons
Mascara,cosmetic for eyelashes
Logarithmic scale,measurement scale based on orders of magnitude
Coproduct,"category-theoretic construction which includes as examples the disjoint union of sets and of topological spaces, the free product of groups, and the direct sum of modules and vector spaces"
Partial evaluation,The field of study related to Partial evaluation.
New normal,"a state to which an economy, society, etc. settles following a crisis, when this differs from the situation that prevailed prior to the start of the crisis"
Search coil,The field of study related to Search coil.
College athletics,"non-professional, collegiate and university-level competitive sports"
Topological conjugacy,The field of study related to Topological conjugacy.
Inventory analysis,process of understanding the stock/product mix combined with the knowledge of the demand for stock/product. It is the technique to determine the optimum level of inventory for a firm
Open-source software development,download
Lissajous curve,mathematical curve outputted from a specific pair of parametric equations
Endocrine surgery,The field of study related to Endocrine surgery.
Car sharing,model of car rental where people rent cars for short periods of time
Vowel length,duration of a vowel sound
Penicillin allergy,The field of study related to Penicillin allergy.
Finite volume method for one-dimensional steady state diffusion,The field of study related to Finite volume method for one-dimensional steady state diffusion.
Colorado plateau,plateau in the southwestern United States
Body cavity,fluid-filled space in a multicellular organism
Affine shape adaptation,The field of study related to Affine shape adaptation.
Surge arrester,device to protect electrical equipment from over-voltage transients
Flor,winemaking term
Myoepithelioma,neoplasm composed of outgrowths of myoepithelial cells from a sweat gland
Social computing,branch of computer science studying the intersection of social behavior and computational systems
Septal myectomy,The field of study related to Septal myectomy.
Visual literacy,The field of study related to Visual literacy.
Catalytic converter,exhaust emission control device that reduces toxic gases and pollutants in exhaust gas from an engine into less toxic pollutants by catalyzing a redox reaction
Business sector,"subset of the economy made up by companies, excluding the economic activities of general government, private households, and nonprofit organizations serving individuals"
File system fragmentation,condition where a segmented file system is used inefficiently
Bose–Hubbard model,model of interacting spinless bosons on a lattice
Cost engineering,The field of study related to Cost engineering.
Stanford–Binet Intelligence Scales,an individually administered intelligence test that was revised from the original Binet–Simon Scale
Church history,academic discipline studying the history of Christianity
Lecture hall,"large room used for instruction, typically at a college or university"
Linearized gravity,theory of a free spin-2 field; weak-field approximation of general relativity
Thunder,sound caused by a lightning strike
Generic drug,"pharmaceutical drug that is equivalent to a brand-name product in dosage, strength, route of administration, quality, performance, and intended use"
African Plate,tectonic plate underlying Africa
Lipophosphoglycan,The field of study related to Lipophosphoglycan.
Acellular Dermis,The field of study related to Acellular Dermis.
Accounts payable,money owed by a business to its suppliers
Bellows,tool for blowing air
Infant nutrition,dietary needs of infants
Monte Carlo method for photon transport,The field of study related to Monte Carlo method for photon transport.
Non-dimensionalization and scaling of the Navier–Stokes equations,The field of study related to Non-dimensionalization and scaling of the Navier–Stokes equations.
Streaming algorithm,algorithms for processing data streams using limited memory
International comparisons,The field of study related to International comparisons.
Dynamic equilibrium,"exists once a reversible reaction ceases to change its ratio of reactants/products, but substances move between the chemicals at an equal rate, meaning there is no net change. It is a particular example of a system in a steady state"
Mind-blindness,disability to be aware of mental states
Part-of-speech tagging,the process of identifying the grammatical type of words in a text
Sense of humor,tendency of someone to point out and emphasize the comical nature of something (or the mental state that leads to this tendency)
Chronic kidney disease-mineral and bone disorder,complication of chronic kidney disease
Harmonic mixer,The field of study related to Harmonic mixer.
Journal club,group of individuals who meet regularly to critically evaluate recent articles in the academic literature
Fabric structure,The field of study related to Fabric structure.
Color term,word or phrase that refers to a specific color
Integral geometry,theory of measures on a geometrical space invariant under the symmetry group of that space
Étale cohomology,sheaf cohomology on the étale site
T-vertices,The field of study related to T-vertices.
Small incision lenticule extraction,form of laser based refractive eye surgery
Vitamin K2,group of vitamins and bacterial metabolites
Day to day,defunct weekday National Public Radio program
Super-recursive algorithm,"generalization of ordinary algorithms that are more powerful, that is, compute more than Turing machines"
Collective security,international security philosophy that everyone is safer together; that the security of one is the concern of all
Frit compression,The field of study related to Frit compression.
Papule,"circumscribed, solid elevation of skin with no visible fluid, varying in area from a pinhead to 1 cm"
Vaginoplasty,Any surgical procedure that results in the construction or reconstruction of the vagina
Government failure,"economic inefficiency caused by a government intervention, if the inefficiency would not exist in a true free market"
Field galaxy,galaxy that does not belong to a larger cluster of galaxies
Integrated gate-commutated thyristor,power semiconductor electronic device
J-coupling,The field of study related to J-coupling.
Chalcedony,"microcrystalline varieties of silica, may contain moganite as well"
Chatterjee,family name (চট্টোপাধ্যায়)
Agroinfiltration,The field of study related to Agroinfiltration.
Thiophosphate,The field of study related to Thiophosphate.
Cyanide poisoning,broad-spectrum poisoning by inhibition of the aerobic respiration metabolism at the cellular level in mitochondria
Debt-to-capital ratio,The field of study related to Debt-to-capital ratio.
Consumer price index (South Africa),The field of study related to Consumer price index (South Africa).
Gender history,Sub-field of history and gender studies
H-alpha,specific hydrogen spectral line in the Balmer series
Science park,area designed to promote science or technology business development
Peak current,modification of consumer demand for energy
Pitfall trap,The field of study related to Pitfall trap.
Duodenal bulb,The field of study related to Duodenal bulb.
